,2018,YoY(2018),2019,YoY(2019),2020,YoY(2020),2021,YoY(2021),2022,YoY(2022)
经营活动产生的现金流量(millions),77434,,69391,-10.39%,80674,16.26%,104038,28.96%,122151,17.41%
投资活动产生的现金流量(millions),16066,,45896,185.67%,-4289,-109.35%,-14545,-239.12%,-22354,-53.69%
融资活动产生的现金流量(millions),-87876,,50224,157.15%,39789,-20.78%,35929,-9.70%,-110749,-408.24%
